"year","site","rain.full._","rain.full.full","rain.half._","rain.half.half"
1997,"scrub",642.682855606079,1236.14651489258,258.965543746948,440.458404541016
1997,"broadleaf",757.937200546265,1366.57203102112,289.382131576538,485.481927871704
1997,"Lloyd",1364.42158794403,2457.07523441315,526.060172080993,832.644993782043
1998,"scrub",488.925678253173,1131.60853385925,198.391820907593,457.357364654541
1998,"broadleaf",557.219211578369,1315.15641212463,196.201517105103,485.583648681641
1998,"Lloyd",960.163420677185,2324.58500862121,297.25615978241,823.316331863403
1999,"scrub",709.292460441589,1198.21813869476,276.035028457642,474.426849365234
1999,"broadleaf",736.354799270629,1293.574010849,281.309629440308,477.51114654541
1999,"Lloyd",1364.49126434326,2324.65468502045,484.334541320801,781.59070110321
2000,"scrub",615.778781890869,1325.07124233246,246.599847793579,522.634876251221
2000,"broadleaf",683.276453018189,1419.63125228882,228.834856033325,510.144485473633
2000,"Lloyd",1122.43772315979,2486.92898750305,337.822710037231,822.157251358032
2001,"scrub",401.30760383606,1017.08638572693,153.204713821411,399.80456161499
2001,"broadleaf",435.91746711731,1119.1939201355,141.62566947937,370.460525512695
2001,"Lloyd",812.467706680298,1934.90542984009,220.588384628296,558.411094665527
2002,"scrub",522.485840797425,923.793444633484,249.603796005249,402.80850982666
2002,"broadleaf",590.281184196472,1026.19865131378,260.497853279113,402.123522758483
2002,"Lloyd",1041.9750328064,1854.44273948669,423.921325683594,644.50971031189
2003,"scrub",474.240914344788,996.726755142212,239.081262588501,488.68505859375
2003,"broadleaf",490.970234870911,1081.25141906738,228.510945320129,489.008798599243
2003,"Lloyd",833.939064025879,1875.91409683228,329.817138671875,753.738464355469
2004,"scrub",539.12771987915,1013.36863422394,230.369552612304,469.450815200805
2004,"broadleaf",570.026755332946,1060.99699020386,223.505137443542,452.016082763672
2004,"Lloyd",983.904625892639,1817.84368991852,289.4145860672,619.231724739075
2005,"scrub",613.646516799927,1152.77423667908,279.347925186157,509.717477798461
2005,"broadleaf",619.627811431885,1189.65456676483,267.168378829956,490.673516273498
2005,"Lloyd",1069.11189460755,2053.01652050018,447.448373794556,736.862959861756
2006,"scrub",720.893124580384,1334.53964138031,295.752339363099,575.100264549256
2006,"broadleaf",800.356767654418,1419.9845790863,335.784046173095,602.952425003052
2006,"Lloyd",1395.02851438522,2464.14040899277,551.67051076889,999.118884563446
2007,"scrub",392.485689163208,1113.37881374359,171.49104309082,467.243382453919
2007,"broadleaf",420.252459526062,1220.60922718048,165.03418636322,500.818232536315
2007,"Lloyd",750.955648422241,2145.98416280746,266.562372207642,818.232882976532
2008,"scrub",529.070936203002,921.55662536621,222.827646255493,394.318689346313
2008,"broadleaf",578.909753799439,999.162213325501,226.399766921997,391.433953285217
2008,"Lloyd",1025.05511856079,1776.01076698303,365.526062011719,632.08843421936
2009,"scrub",632.273188591003,1161.34412479401,172.945611000061,395.773257255554
2009,"broadleaf",689.851294517517,1268.76104831696,187.790733337402,414.1905002594
2009,"Lloyd",1213.11188602447,2238.16700458527,267.980370521545,633.506432533264
2010,"scrub",503.729561805725,1136.00275039673,311.531136512757,484.476747512818
2010,"broadleaf",539.482531547547,1229.33382606506,333.620589256287,521.411322593689
2010,"Lloyd",959.572965145112,2172.68485116959,566.392415523529,834.372786045074
2011,"scrub",652.866472244263,1156.59603404999,312.109281539917,623.640418052674
2011,"broadleaf",697.743854522705,1237.22638607025,329.948598861694,663.569188117981
2011,"Lloyd",1207.8380241394,2167.41098928452,515.638248443603,1082.03066396713
2012,"scrub",534.252202987671,1187.11867523193,241.66523361206,553.774515151978
2012,"broadleaf",611.144937515259,1308.88879203796,286.058988571167,616.007587432861
2012,"Lloyd",1078.69131278992,2286.52933692932,427.034847259521,942.673095703125
2013,"scrub",650.288787841796,1184.54099082947,222.619384765625,464.284618377686
2013,"broadleaf",695.507252693177,1306.65219020844,230.439049720764,516.498038291931
2013,"Lloyd",1372.35098552704,2451.04229831695,378.282904624939,805.317751884461
2014,"scrub",333.728938102722,984.017725944518,147.121092796326,369.740477561951
2014,"broadleaf",387.316316604614,1082.82356929779,147.001156806946,377.44020652771
2014,"Lloyd",733.384771347046,2105.73575687408,254.417912483216,632.700817108155
2015,"scrub",315.645296096802,649.374234199524,145.776596069336,292.897688865662
2015,"broadleaf",339.379764556885,726.696081161499,136.856719970703,283.857876777649
2015,"Lloyd",608.68078994751,1342.06556129456,192.734453201294,447.15236568451
2016,"scrub",318.093416213989,633.738712310791,150.419458389282,296.196054458618
2016,"broadleaf",339.233807563782,678.613572120666,128.812231063843,265.668951034546
2016,"Lloyd",567.342464447022,1176.02325439453,186.24635887146,378.980812072754
2017,"scrub",548.319750785827,866.413166999816,243.410744667053,393.830203056335
2017,"broadleaf",636.323365211487,975.557172775269,241.412404060364,370.224635124207
2017,"Lloyd",1081.0415391922,1648.38400363922,404.548630714416,590.794989585876
