"","year","CE.smr.tot","CE.smr.dev","CE.spr.tot","CE.spr.dev","CE.tot.tot","CE.tot.dev","NE.smr.tot","NE.smr.dev","NE.spr.tot","NE.spr.dev","NE.tot.tot","NE.tot.dev","SE.smr.tot","SE.smr.dev","SE.spr.tot","SE.spr.dev","SE.tot.tot","SE.tot.dev","US.tot.tot","US.tot.dev"
"1","1995",9.47,0.15,10.88,3.25,29.42,2.58,8.51,-3.18,7.58,-2.99,39.45,-2.59,18.04,2.1,9.46,-2.72,53.86,3.52,32.69,2.75
"2","1996",9.19,-0.13,8.39,0.76,29.63,2.79,13.81,2.12,12.73,2.16,54.4,12.36,15.4,-0.54,13.28,1.1,53.57,3.23,33.7,3.76
"3","1997",9.93,0.61,7.08,-0.55,27.27,0.43,10.96,-0.73,10.39,-0.18,39.85,-2.19,14.5,-1.44,11.74,-0.44,53.77,3.43,31.86,1.92
"4","1998",11.2,1.88,8.23,0.6,30.76,3.92,13.11,1.42,11.9,1.33,43.29,1.25,12.56,-3.38,13.8,1.62,54.15,3.81,33.89,3.95
"5","1999",10.06,0.74,9.08,1.45,27.3,0.46,8.68,-3.01,9.26,-1.31,42.74,0.7,14.58,-1.36,8.92,-3.26,46.67,-3.67,28.47,-1.47
"6","2000",9.6,0.28,7.1,-0.53,26.71,-0.13,12.82,1.13,13.52,2.95,44.81,2.77,13.37,-2.57,9.17,-3.01,41.72,-8.62,28.22,-1.72
"7","2001",9.19,-0.13,7.83,0.2,27.89,1.05,10.36,-1.33,9.46,-1.11,34.15,-7.89,16.92,0.98,12.3,0.12,44.51,-5.83,29.02,-0.92
"8","2002",8.67,-0.65,7.9,0.27,25.05,-1.79,9.84,-1.85,12.65,2.08,43.65,1.61,14.31,-1.63,10.06,-2.12,51.04,0.7,29.05,-0.89
"9","2003",8.25,-1.07,8.05,0.42,25.86,-0.98,14.21,2.52,10.53,-0.04,50.99,8.95,21.27,5.33,17.71,5.53,60.17,9.83,30.51,0.57
"10","2004",9.67,0.35,8.95,1.32,29.33,2.49,14.93,3.24,11.71,1.14,46.35,4.31,18.64,2.7,7.62,-4.56,52.88,2.54,33.25,3.31
"11","2005",9.8,0.48,6.46,-1.17,26.88,0.04,11.34,-0.35,11.69,1.12,50.23,8.19,19.47,3.53,13.35,1.17,51.99,1.65,30.08,0.14
"12","2006",8.41,-0.91,7.28,-0.35,26.42,-0.42,16.81,5.12,9.2,-1.37,50.17,8.13,14.08,-1.86,7.19,-4.99,44.53,-5.81,29.82,-0.12
"13","2007",9.28,-0.04,8.67,1.04,28.98,2.14,11.15,-0.54,11.85,1.28,45.01,2.97,12.65,-3.29,6.34,-5.84,37.83,-12.51,29.18,-0.76
"14","2008",10.01,0.69,9.14,1.51,31.7,4.86,13.87,2.18,11.31,0.74,50.47,8.43,16.55,0.61,10.78,-1.4,48.05,-2.29,31.24,1.3
"15","2009",10.66,1.34,8.4,0.77,30.74,3.9,16.33,4.64,10.55,-0.02,46.34,4.3,14.22,-1.72,16.75,4.57,58.17,7.83,32.3,2.36
"16","2010",12.29,2.97,8.14,0.51,30.35,3.51,11.89,0.2,10.25,-0.32,45.34,3.3,13.72,-2.22,11.44,-0.74,44.96,-5.38,31.37,1.43
"17","2011",9.42,0.1,10.37,2.74,29.95,3.11,15.25,3.56,16.73,6.16,56.67,14.63,13.17,-2.77,11.5,-0.68,45.28,-5.06,30.1,0.16
"18","2012",6.12,-3.2,6.89,-0.74,21.8,-5.04,11.53,-0.16,9.71,-0.86,42.67,0.63,17.74,1.8,11.24,-0.94,47.32,-3.02,27.53,-2.41
"19","2013",8.85,-0.47,9.79,2.16,30.45,3.61,16.2,4.51,9.37,-1.2,44.34,2.3,23.08,7.14,11.96,-0.22,58.74,8.4,31.06,1.12
"20","2014",11.83,2.51,7.13,-0.5,29.02,2.18,13.79,2.1,11.75,1.18,45.36,3.32,13.48,-2.46,15.03,2.85,51.95,1.61,30.85,0.91
"21","2015",11.45,2.13,9.1,1.47,32.27,5.43,14.38,2.69,8.11,-2.46,42.48,0.44,15.53,-0.41,11.05,-1.13,56.34,6,34.59,4.65
"22","2016",11.02,1.7,8.92,1.29,29.89,3.05,10.91,-0.78,8.33,-2.24,39.31,-2.73,13.87,-2.07,11.06,-1.12,46.98,-3.36,31.42,1.48
"23","2017",NA,NA,9.69,2.06,NA,NA,NA,NA,13.69,3.12,NA,NA,NA,NA,12.71,0.53,NA,NA,NA,NA
